Time(s),Depth(m),Pressure(Pa)
0.6,2.2,139100.9586863056
0.6,2.6,145911.8016464945
0.6,3.0,152722.43165984555
0.6,3.4,159532.8298743555
0.6,3.8,166376.68416807003
1.2,2.2,139115.8562093543
1.2,2.6,145955.95068258824
1.2,3.0,152795.19572508198
1.2,3.4,159633.59120324595
1.2,3.8,166490.1310097298
2.6,2.2,139131.01387826246
2.6,2.6,146002.03462469066
2.6,3.0,152872.98809618593
2.6,3.4,159743.8743719382
2.6,3.8,166617.2418977327
30.4,2.2,139097.6813410802
30.4,2.6,145902.01052777545
30.4,3.0,152706.1913499261
30.4,3.4,159510.22314568574
30.4,3.8,166349.683419005
60.4,2.2,139090.84114521267
60.4,2.6,145880.52403998887
60.4,3.0,152667.95205267996
60.4,3.4,159453.1249931048
60.4,3.8,166283.0420837874
90.4,2.2,139089.59313136165
90.4,2.6,145876.88362882525
90.4,3.0,152661.0926686906
90.4,3.4,159442.23648601052
90.4,3.8,166270.65448526782
120.4,2.2,139089.97767674463
120.4,2.6,145878.5368524508
120.4,3.0,152663.62064501905
120.4,3.4,159445.25764544526
120.4,3.8,166274.5901577932
150.4,2.2,139090.87807504952
150.4,2.6,145881.9173313373
150.4,3.0,152669.23581426588
150.4,3.4,159452.8693960756
150.4,3.8,166283.90450264697
210.4,2.2,139092.6329153277
210.4,2.6,145888.85001397325
210.4,3.0,152681.00826059622
210.4,3.4,159469.1515650622
210.4,3.8,166303.82135734695
330.4,2.2,139093.94857665547
330.4,2.6,145897.00253239414
330.4,3.0,152695.4552697464
330.4,3.4,159489.3622022945
330.4,3.8,166329.39091052226
450.4,2.2,139092.79794783305
450.4,2.6,145898.80683022208
450.4,3.0,152699.68602180504
450.4,3.4,159495.5018822159
450.4,3.8,166338.66496530653
570.4,2.2,139090.03092554724
570.4,2.6,145896.8153464052
570.4,3.0,152697.91855777195
570.4,3.4,159493.42033421434
570.4,3.8,166338.4065120046
690.4,2.2,139094.12916310335
690.4,2.6,145915.61753974078
690.4,3.0,152730.62205740565
690.4,3.4,159539.24147004526
690.4,3.8,166392.70108066185
810.4,2.2,139095.50284703902
810.4,2.6,145925.990139122
810.4,3.0,152749.1627685767
810.4,3.4,159565.14151707324
810.4,3.8,166424.093856414
930.4,2.2,139096.22937873044
930.4,2.6,145934.4312082807
930.4,3.0,152764.41745300038
930.4,3.4,159586.33522502863
930.4,3.8,166449.98861843377
1050.4,2.2,139096.4919691178
1050.4,2.6,145941.64114675386
1050.4,3.0,152777.58812619277
1050.4,3.4,159604.51152802512
1050.4,3.8,166472.3128543601
1170.4,2.2,139096.39673594004
1170.4,2.6,145948.0491364233
1170.4,3.0,152789.41263980622
1170.4,3.4,159620.70365535966
1170.4,3.8,166492.24324379602
1290.4,2.2,139096.01130276904
1290.4,2.6,145953.94841355833
1290.4,3.0,152800.39503470785
1290.4,3.4,159635.61293217665
1290.4,3.8,166510.57528454482
1410.4,2.2,139095.33984168342
1410.4,2.6,145959.51114828768
1410.4,3.0,152810.86084044015
1410.4,3.4,159649.70390898283
1410.4,3.8,166527.83616943896
1530.4,2.2,139094.3175164058
1530.4,2.6,145964.7476300421
1530.4,3.0,152820.93890037568
1530.4,3.4,159663.20841146694
1530.4,3.8,166544.30246737672
1650.4,2.2,139092.9512388223
1650.4,2.6,145969.6562934605
1650.4,3.0,152830.72197869446
1650.4,3.4,159676.29930317937
1650.4,3.8,166560.17868932968
1770.4,2.2,139091.241008085
1770.4,2.6,145974.28068003693
1770.4,3.0,152840.28999453355
1770.4,3.4,159689.1218771205
1770.4,3.8,166575.6336517479
1890.4,2.2,139089.17612895844
1890.4,2.6,145978.68308476446
1890.4,3.0,152849.70753484755
1890.4,3.4,159701.79660238008
1890.4,3.8,166590.80573708858
2010.4,2.2,139086.73679840105
2010.4,2.6,145982.9057956243
2010.4,3.0,152859.03183519206
2010.4,3.4,159714.42208541997
2010.4,3.8,166605.8071916985
2130.4,2.2,139083.89489117163
2130.4,2.6,145986.9744726524
2130.4,3.0,152868.33115572913
2130.4,3.4,159727.07744056568
2130.4,3.8,166620.727447944
2250.4,2.2,139080.61421535542
2250.4,2.6,145990.90036888875
2250.4,3.0,152877.6592920866
2250.4,3.4,159739.82380520133
2250.4,3.8,166635.6352635743
2370.4,2.2,139076.85039822612
2370.4,2.6,145994.68142108366
2370.4,3.0,152887.0519031932
2370.4,3.4,159752.7050795514
2370.4,3.8,166650.58005006006
2490.4,2.2,139072.5504881618
2490.4,2.6,145998.30251752364
2490.4,3.0,152896.52777133044
2490.4,3.4,159765.75071762456
2490.4,3.8,166665.5919228616
2520.4,2.2,139071.38467527693
2520.4,2.6,145999.17976142754
2520.4,3.0,152898.91036004355
2520.4,3.4,159769.0407242436
2520.4,3.8,166669.35716178297
2640.4,2.2,139066.3260839744
2640.4,2.6,146002.55915728962
2640.4,3.0,152908.49113805115
2640.4,3.4,159782.32099548125
2640.4,3.8,166684.47072069207
2760.4,2.2,139060.57731955126
2760.4,2.6,146005.6941925854
2760.4,3.0,152918.13508865781
2760.4,3.4,159795.79026996743
2760.4,3.8,166699.66313882332
2880.4,2.2,139054.0522082606
2880.4,2.6,146008.5223024118
2880.4,3.0,152927.8030467559
2880.4,3.4,159809.42619737418
2880.4,3.8,166714.90841422585
3000.4,2.2,139046.65202881445
3000.4,2.6,146010.96310574195
3000.4,3.0,152937.43452209252
3000.4,3.4,159823.1826201379
3000.4,3.8,166730.15511412334
3120.4,2.2,139038.26411905105
3120.4,2.6,146012.91621729758
3120.4,3.0,152946.94504757965
3120.4,3.4,159836.98676958142
3120.4,3.8,166745.3233992802
3240.4,2.2,139028.76031637832
3240.4,2.6,146014.25870666603
3240.4,3.0,152956.22300609303
3240.4,3.4,159850.7358068996
3240.4,3.8,166760.301393195
3360.4,2.2,139017.99523698617
3360.4,2.6,146014.84222658037
3360.4,3.0,152965.12596565802
3360.4,3.4,159864.2927484
3360.4,3.8,166774.9409257834
3480.4,2.2,139005.8044044372
3480.4,2.6,146014.4898399092
3480.4,3.0,152973.47655829895
3480.4,3.4,159877.48181292453
3480.4,3.8,166789.05266072054
3600.4,2.2,138992.00224879364
3600.4,2.6,146012.99259138963
3600.4,3.0,152981.05795546985
3600.4,3.4,159890.08324524868
3600.4,3.8,166802.40061464655
3720.4,2.2,138976.3800105591
3720.4,2.6,146010.10588924788
3720.4,3.0,152987.60901155806
3720.4,3.4,159901.82768316587
3720.4,3.8,166814.69617120636
3840.4,2.2,138958.70360179266
3840.4,2.6,146005.54579881352
3840.4,3.0,152992.81919627808
3840.4,3.4,159912.39019369957
3840.4,3.8,166825.5924482717
3960.4,2.2,138938.7114825482
3960.4,2.6,145998.98536283616
3960.4,3.0,152996.32344712343
3960.4,3.4,159921.38410597653
3960.4,3.8,166834.67638373288
4080.4,2.2,138916.11261845776
4080.4,2.6,145990.05110148038
4080.4,3.0,152997.69713303572
4080.4,3.4,159928.3548433671
4080.4,3.8,166841.46168324587
4200.4,2.2,138890.58458270616
4200.4,2.6,145978.31985810096
4200.4,3.0,152996.45133968993
4200.4,3.4,159932.7739769805
4200.4,3.8,166845.38354727038
4320.4,2.2,138861.77188377007
4320.4,2.6,145963.3162028225
4320.4,3.0,152992.0287491102
4320.4,3.4,159934.03379117305
4320.4,3.8,166845.7929912903
4440.4,2.2,138829.28463461055
4440.4,2.6,145944.51065767373
4440.4,3.0,152983.80044713322
4440.4,3.4,159931.44271274167
4440.4,3.8,166841.94986657414
4500.4,2.2,138811.53159066048
4500.4,2.6,145933.5017541486
4500.4,3.0,152978.04255555148
4500.4,3.4,159928.4632105483
4500.4,3.8,166838.1764523426
4620.4,2.2,138772.72432861873
4620.4,2.6,145907.88120067114
4620.4,3.0,152962.76577191538
4620.4,3.4,159918.60811368958
4620.4,3.8,166826.35958555705
4740.4,2.2,138729.11335509797
4740.4,2.6,145876.89821227742
4740.4,3.0,152941.79023867493
4740.4,3.4,159902.78964541535
4740.4,3.8,166808.0233084364
4860.4,2.2,138680.18586891404
4860.4,2.6,145839.8393807168
4860.4,3.0,152914.23461530491
4860.4,3.4,159880.01014172213
4860.4,3.8,166782.0918813277
4980.4,2.2,138625.39554808935
4980.4,2.6,145795.94692349367
4980.4,3.0,152879.1536821873
4980.4,3.4,159849.19011552777
4980.4,3.8,166747.3956444287
5100.4,2.2,138564.16378650302
5100.4,2.6,145744.42494170397
5100.4,3.0,152835.5459527909
5100.4,3.4,159809.17507783894
5100.4,3.8,166702.67766461417
5220.4,2.2,138495.88077575224
5220.4,2.6,145684.44654372113
5220.4,3.0,152782.36329137324
5220.4,3.4,159758.74496144493
5220.4,3.8,166646.60209396342
5340.4,2.2,138419.9058471965
5340.4,2.6,145615.1604614638
5340.4,3.0,152718.52094015936
5340.4,3.4,159696.62430550586
5340.4,3.8,166577.763804154
5460.4,2.2,138335.56671976496
5460.4,2.6,145535.6961847119
5460.4,3.0,152642.90711997083
5460.4,3.4,159621.49263924957
5460.4,3.8,166494.69740321703
5580.4,2.2,138242.15756420005
5580.4,2.6,145445.1667335835
5580.4,3.0,152554.3912925841
5580.4,3.4,159531.99447147633
5580.4,3.8,166395.88456310544
5700.4,2.2,138138.93605135384
5700.4,2.6,145342.66832454316
5700.4,3.0,152451.82978833272
5700.4,3.4,159426.7474399538
5700.4,3.8,166279.76638264288
5820.4,2.2,138025.1198072969
5820.4,2.6,145227.27698458693
5820.4,3.0,152334.068337379
5820.4,3.4,159304.3481972248
5820.4,3.8,166144.74716959748
5940.4,2.2,137899.88278200742
5940.4,2.6,145098.04276741223
5940.4,3.0,152199.94165229436
5940.4,3.4,159163.37635474728
5940.4,3.8,165989.20396694695
6060.4,2.2,137762.3520896649
6060.4,2.6,144953.98248298865
6060.4,3.0,152048.2702807941
6060.4,3.4,159002.39650249569
6060.4,3.8,165811.48473205196
6180.4,2.2,137611.60608894998
6180.4,2.6,144794.07235489174
6180.4,3.0,151877.85570078803
6180.4,3.4,158819.95903434532
6180.4,3.8,165609.91338899682
6300.4,2.2,137446.67471115448
6300.4,2.6,144617.24255500434
6300.4,3.0,151687.47556807502
6300.4,3.4,158614.60149033574
6300.4,3.8,165382.80111470364
6420.4,2.2,137266.54300031433
6420.4,2.6,144422.3757112063
6420.4,3.0,151475.88132529575
6420.4,3.4,158384.85213294087
6420.4,3.8,165128.44902449052
6540.4,2.2,137070.15824880384
6540.4,2.6,144208.31127277887
6540.4,3.0,151241.8005258565
6540.4,3.4,158129.23774826693
6540.4,3.8,164845.16802352056
6660.4,2.2,136856.43996626546
6660.4,2.6,143973.85625437775
6660.4,3.0,150983.94499515902
6660.4,3.4,157846.29645249277
6660.4,3.8,164531.28728441146
6780.4,2.2,136624.29130513567
6780.4,2.6,143717.80121302887
