DATETIME;t(s);0;1;2;3;4;5;6;7;8;9;$P_e$(2.2m);$P_e$(2.6m);$P_e$(3.0m);$P_e$(3.4m);$P_e$(3.8m)
2015-06-24 12:08:00;0;140983.05321062315;140987.08455618666;147296.08222298563;147313.50624411437;154543.9595758576;154610.67987175286;158889.6472252252;158940.59909412128;166420.5329248574;166425.85457684417;140990.18889999998;147305.78905999998;154583.20824;158940.69655999998;166421.51116
2015-06-24 12:10:00;120;140597.33331728872;140660.27831041857;146819.70057389382;146861.49051662156;154236.90472440622;154267.76419747205;158595.1052515993;158690.85645765564;166220.01762333946;166251.56214295365;140642.00352;146833.498;154238.47024;158630.43235999998;166221.56312
2015-06-24 12:12:00;230;140405.2419421195;140426.05562172746;146502.5728241185;146578.0588494471;153975.87553548405;154032.97548416612;158395.858380689;158448.40995143048;166053.13713249765;165973.48871159597;140411.02906;146502.54952;154017.83792;158416.6948;166000.9308
2015-06-24 12:14:00;350;140181.3421100931;140279.05287938524;146363.51620789454;146435.67727319172;153852.86079283513;153967.0312271599;158406.0677537152;158433.03048433925;165849.91912626088;165968.73927792715;140231.7653;146361.20694;153900.62699999998;158361.53672;165911.29892
2015-06-24 12:16:00;470;140091.00002438002;140204.64317175507;146330.6123691872;146416.54432090485;153856.88948229369;153911.3615459232;158237.58165894472;158427.80156805023;165643.04945837051;165719.9559560982;140180.0546;146340.52266;153873.04796;158306.37864;165745.82468
2015-06-24 12:18:00;580;140186.8953398534;140095.01236117465;146068.80619602973;146196.53521300797;153642.46264565224;153695.72450989598;158202.93622133503;158293.6859051187;165750.39418170272;165848.2546523963;140162.81769999999;146178.49579999998;153686.88944;158313.2734;165780.29848
2015-06-24 12:20:00;700;139997.29196919838;140018.29759325538;145944.89672898792;146144.95758360423;153603.41541626898;153632.6697444752;158255.44797829393;158242.81296551958;165704.41295235377;165691.7713129268;139973.2118;146037.15321999998;153652.41564;158285.69436;165642.40328
2015-06-24 12:22:00;820;139895.619148106;139981.5861004774;146012.15000408035;145972.6478425228;153458.465207008;153718.32362267454;158205.3722495559;158411.96787399205;165795.88095117421;165870.18312554722;139928.39586;146047.49536;153535.20471999998;158271.90484;165780.29848
2015-06-24 12:24:00;940;139766.1583477121;139658.87586404922;146046.69254283587;146202.5892028418;153424.70047959866;153598.1463765341;158042.0565487333;158239.81198754275;165445.79278705892;165669.96364014436;139718.10567999998;146016.46894;153452.46759999997;158147.79916;165683.77184
2015-06-24 12:26:00;1090;139602.3802866016;139866.40516440396;145745.24353078232;145913.43492966716;153177.84956034776;153239.51254966392;158051.9471268152;158404.93025370437;165444.34648142735;165652.82794383724;139749.1321;145802.73137999998;153190.46672;158196.06248;165532.08711999998
2015-06-24 12:28:00;1200;139378.29190797984;139688.13062553224;145774.7502709988;145855.27282131303;153254.27403441226;153177.41683759296;157923.3324860937;158141.92781301742;165686.21053497988;165786.7906343156;139645.7107;145809.62613999998;153211.151;158023.69348;165752.71944
2015-06-24 12:30:00;1320;139336.26739738588;139720.95337779852;145624.52632276743;145794.58558734384;152846.82145809906;153090.1606037258;157995.4490216368;158282.56574936237;165514.97925118316;165823.33229566042;139587.10524;145699.30998;153045.67676;158085.74632;165649.29804
2015-06-24 12:32:00;1440;139450.4347664774;139666.40773082254;145693.6648450652;145941.39110640166;152995.50884772846;153107.93159480454;157930.767046858;158058.4683835218;165474.447452391;165949.9572048124;139594.0;145751.02068;153204.25624;158003.0092;165759.6142
2015-06-24 12:34:00;1550;139424.477060042;139606.32351737155;145696.2040180902;145797.0332635694;152931.3708805488;153101.06652696794;157788.91085540803;158091.93922672875;165493.68890044515;165854.20567446054;139452.65742;145613.12548;153004.3082;157947.85112;165607.92948
