DATETIME;t(s);0;1;2;3;4;5;6;7;8;9;$P_e$(2.2m);$P_e$(2.6m);$P_e$(3.0m);$P_e$(3.4m);$P_e$(3.8m);m(g);m1(g);m2(g);mDot(kg/s);Vr(m/s)
2016-01-14 10:40:00;0;139619.81608200376;139713.40216902547;145388.58299830972;145486.38187464813;151921.31603277335;152103.19738022637;161597.1868406193;161720.9958208035;166864.22907254132;166967.22552250733;139676.73711999998;145433.86172;152011.46276;161664.12676;166917.93388;0.15;0.15046526606587146;0.14953545892378622;-8.333333333333342e-08;-5.801798742049268e-10
2016-01-14 10:42:00;120;138365.40944062418;138507.35520924383;144171.15978500736;144306.68088653588;152362.30745011472;152676.26183406272;160602.967764119;160772.92181888083;166096.38511232063;166242.10446482908;138446.02245999998;144237.62086;152494.09596;160678.17608;166159.51028;0.11;0.11038188319283156;0.10964799010335348;-3.3333333333333325e-07;-2.3207194968197044e-09
2016-01-14 10:44:00;240;137864.39075376594;137984.2541616493;143251.50430191873;143426.27111813173;152349.35606179864;152610.62684735114;160399.05626261493;160609.9399839911;165862.1631992237;166057.10144966285;137928.91546;143348.19681999998;152473.41168;160492.01756;165980.24652;0.12;0.12048574444267465;0.11959044114233165;8.333333333333329e-08;5.801798742049259e-10
2016-01-14 10:46:00;360;137427.19395767554;137652.4740273321;142713.99659421958;142855.8644566977;152204.8442274336;152544.0450493665;159968.7618163954;160193.94866322243;165354.44538530565;165546.1975197754;137542.8089;142789.72126;152397.56932;160092.12148;165449.35;4.3;4.3198249092737075;4.283831969471185;3.483333333333334e-05;2.425151874176592e-07
2016-01-14 10:48:00;480;137095.648168881;137342.25936732572;142367.49013039583;142600.79382907978;152091.89012977906;152481.45103864034;159566.96100135025;159806.4419737861;165023.0426970596;165324.90950601344;137225.64994;142486.35181999998;152307.93744;159664.64636;165139.0858;7.44;7.472044548399734;7.405562815541151;2.616666666666667e-05;1.8217648050034686e-07
2016-01-14 10:50:00;600;136964.99850521542;137190.65020251798;142036.31883059122;142281.47565275445;152051.97430223093;152594.926341594;159505.6853688048;159893.10212509695;164851.1740501393;165160.5263091704;137125.67591999998;142176.08762;152280.3584;159712.90967999998;165014.98012;11.98;12.039045356363845;11.920359945398564;3.7833333333333336e-05;2.634016628890365e-07
2016-01-14 10:52:00;720;136960.3084926323;137099.04031958035;141886.80110328566;142227.17168958992;151802.12049405117;152585.7372090842;159164.9114510956;159483.43046889114;164703.68155962892;165014.48274182752;137032.59665999998;142048.53456;152211.41079999998;159326.80312;164890.87443999999;15.55;15.63045510953259;15.474168658241513;2.975e-05;2.0712421509115867e-07
2016-01-14 10:54:00;840;136733.9778354672;137038.7966132297;141587.37917119634;142002.67854979818;151921.83587799632;152530.51229380432;158945.68112509968;159472.1092571242;164415.45167016724;164747.32380976333;136870.5698;141803.77057999998;152190.72652;159271.64504;164663.34735999999;18.59;18.690360556089633;18.48498707467559;2.5333333333333327e-05;1.7637468175829753e-07
2016-01-14 10:56:00;960;136672.70878337114;137063.82336681095;141456.31119626205;141968.44735846674;151803.8447699666;152453.51703840174;159022.15710120232;159455.9982021745;164443.2263030215;164830.9100375825;136839.54338;141683.11228;152107.9894;159250.96076;164635.76832;21.17;21.290577243240183;21.04897526915453;2.1500000000000014e-05;1.4968640754487107e-07
2016-01-14 10:58:00;1080;136364.52057800884;136848.65862646574;141479.9911336356;141860.30338438912;151782.5918316566;152533.0223482959;158866.1663653965;159315.04458839542;164336.44300524466;164815.92773507794;136653.38486;141624.50681999998;152101.09464;159126.85508;164594.39976;23.53;23.675410864126672;23.388177108630007;1.9666666666666662e-05;1.3692245031236257e-07
2016-01-14 11:00:00;1200;136269.94247785688;136704.61072400713;141301.8294295962;141699.95627592862;151588.52971249164;152595.264305196;158759.5885778075;159222.38119981627;164202.36851289094;164662.52989658472;136553.41084;141538.32231999998;152073.51559999998;158961.38084;164463.39932;25.7;25.879572076567808;25.534330779060028;1.808333333333332e-05;1.258990327024689e-07
2016-01-14 11:02:00;1320;136149.16951139027;136686.61048713513;141200.5369478349;141773.90373943213;151576.5848266746;152296.474453179;158831.92708483172;159488.0954241806;164017.47589049803;164724.84079787205;136477.56848;141445.24306;151976.98896;159057.90748;164477.18884;27.74;27.928919462354898;27.54049044850702;1.6999999999999993e-05;1.183566943378049e-07
2016-01-14 11:04:00;1440;136188.1736956333;136726.3416876207;141046.74193031323;141648.44525140067;151248.6057463663;152313.5611080575;158535.28418895256;159067.2242172755;163995.64987308058;164522.28473002644;136463.77896;141400.42711999998;151887.35708;158809.69611999998;164325.50412;29.63;29.84642494660904;29.43671582847297;1.5750000000000003e-05;1.0965399622473108e-07
2016-01-14 11:06:00;1560;136201.9348421575;136701.7512845236;141070.65038093514;141612.36544349586;151466.64834361136;152573.466602492;158298.22055989766;158976.79169835706;163959.87276429147;164617.0180834529;136436.19991999998;141348.71641999998;151928.72564;158685.59044;164291.03032;31.58;31.83256283756527;31.327625606075802;1.6249999999999995e-05;1.1313507546996058e-07
2016-01-14 11:08:00;1680;136172.57964941702;136789.06426686666;141038.48836585996;141652.45239630705;151169.0343649853;152518.12587338287;158473.0819963142;159024.97871977394;163831.67584700754;164520.38459421264;136439.64729999998;141338.37428;151873.56756;158706.27472;164235.87224;33.25;33.50972555495302;32.98230208391001;1.3916666666666682e-05;9.689003899222278e-08
2016-01-14 11:10:00;1800;136253.80544604914;136854.07278546094;140922.08007889174;141550.59540173764;151420.69217913316;152484.68813552993;158242.91080286523;158895.29169641953;163996.65638679598;164454.98649110048;136474.1211;141162.55789999999;151790.83044;158637.32712;164235.87224;34.86;35.1472791073093;34.57568514508662;1.3416666666666661e-05;9.340895974699309e-08
2016-01-14 11:12:00;1922;136012.07425204408;136801.71875460332;140750.21122063615;141612.45190632666;151152.85448336948;152523.09230990784;158124.99000677635;158876.35610358298;163957.86812893214;164716.07883262276;136449.98944;141190.13694;151832.199;158527.01095999999;164235.87224;36.45;36.79172839491094;36.12149735075784;1.3032786885245929e-05;9.073632786745914e-08
2016-01-14 11:14:00;2040;136282.07085101338;136797.39576239674;140668.9257285164;141363.07863296356;150937.3313668636;152377.74688349277;158286.38284085234;159062.89247355945;163866.61607334478;164595.07203623353;136481.01585999998;141138.42624;151728.7776;158568.37952;164180.71415999997;37.9;38.26014372088887;37.54425713823182;1.2288135593220303e-05;8.555194755225159e-08
2016-01-14 11:16:00;2160;135970.37379216452;136755.06084360045;140615.28361126632;141611.90662703238;150926.78651593724;152190.07088389256;158062.34694599087;158781.4181728949;163785.2613345986;164535.77213905746;136336.2259;141148.76838;151659.83;158471.85288;164166.92463999998;39.46;39.86687117618423;39.093809787948295;1.3000000000000018e-05;9.050806037596862e-08
2016-01-14 11:18:00;2280;135877.0831064209;136692.49473661924;140776.7425164861;141540.02104276253;151248.18013850282;152373.40500472314;158055.90220708965;158972.5475100696;163870.61555827316;164474.6385565275;136325.88376;141107.39982;151694.3038;158396.01052;164132.45084;40.78;41.15169744553307;40.34803855316675;1.1000000000000003e-05;7.658374339505028e-08
2016-01-14 11:20:00;2400;135944.87966680195;136731.3551365622;140707.26759441334;141575.8163582757;150798.8945550997;152173.4014549735;158129.23081760888;158779.0018881582;163611.32592156582;164453.47174625247;136239.69926;141048.79436;151597.77716;158402.90528;164111.76656;42.15;42.56605377691487;41.73925534939643;1.1416666666666647e-05;7.948464276607475e-08
2016-01-14 11:22:00;2520;135861.9264648297;136775.47787195555;140789.35131407477;141639.04490795938;150531.17999330882;152365.37272746323;158156.22434529878;158866.41061763634;163613.30395885988;164667.55462565404;136305.19947999998;141155.66314;151446.09243999998;158389.11576;164180.71415999997;43.52;43.94828914843473;43.08030490549228;1.1416666666666706e-05;7.948464276607516e-08
2016-01-14 11:24:00;2640;135649.29742803352;136694.6187436253;140418.52931424486;141575.6213174638;150556.68973013273;152562.70057340883;157811.4491191831;158654.66847269435;163399.54229355013;164728.9423085449;136201.77808;141093.6103;151639.14572;158292.58912;164015.23992;44.83;45.29958872130648;44.335695879452445;1.0916666666666626e-05;7.600356352084505e-08
2016-01-14 11:26:00;2760;135846.8042538942;136551.9016797191;140635.75173281724;141705.74077871465;150569.1231825855;152477.11938237865;157770.53892453082;158936.0945373987;163278.33875802922;164430.5746305725;136143.17262;141134.97886;151542.61908;158382.221;163870.44996;46.08;46.578973702709405;45.557160439282654;1.0416666666666666e-05;7.252248427561577e-08
2016-01-14 11:28:00;2880;135694.25578334797;136621.93849076817;140402.70454004355;141271.99479905286;150575.2805026219;152241.09307331825;157708.38614648452;158830.16173851097;163243.47143996283;164217.33305681383;136174.19904;140993.63628;151556.4086;158189.16772;163780.81808;47.28;47.82034611304227;46.7487646474253;1.0000000000000025e-05;6.962158490459132e-08
2016-01-14 11:30:00;3000;135454.46159585656;136480.64121850167;140668.35468015232;141681.35645505012;150489.80203959066;152481.78566828254;157663.69888021742;158890.0556795069;163422.4509777351;164287.3588073365;136122.48833999998;141138.42624;151556.4086;158306.37864;163863.5552;48.57;49.124453559786026;47.96711961470239;1.0749999999999992e-05;7.484320377243543e-08
2016-01-14 11:32:00;3120;135866.35040896665;136444.17674867285;140400.13049887618;141614.2424237275;150643.49795072543;152569.94888872086;157778.08761376888;158832.3420776754;163053.32790765067;164135.42325516773;136056.98812;141055.68912;151521.9348;158389.11576;163670.50192;49.72;50.34954232791493;49.094907260904165;9.583333333333322e-06;6.672068553356644e-08
2016-01-14 11:34:00;3240;135471.32170368143;136407.54084572915;140258.59305670706;141550.47453011604;150604.93576354702;152623.95551702936;157698.41015037894;158832.2405887938;163143.47861531985;164047.49509658205;136019.06694;141031.55745999998;151459.88196;158258.11531999998;163615.34384;50.85;51.545202541024786;50.18752292549828;9.416666666666688e-06;6.556032578515681e-08
2016-01-14 11:36:00;3360;135555.83867415757;136738.87393182275;140524.02225882787;141664.20495364282;149870.90052634157;152336.5897636025;157286.65931556004;158498.03045375997;162884.40024508373;164150.30688743183;136025.96169999999;140972.952;151446.09243999998;158051.27252;163691.1862;52.05;52.72483620397912;51.39907862575057;9.999999999999964e-06;6.962158490459089e-08
2016-01-14 11:38:00;3480;135456.20700075393;136616.71216484523;140156.15481446558;141465.61128961993;150469.33601122143;152752.59448729226;157408.0378714174;158544.45829956027;163016.79888262594;164138.77586510198;136019.06694;140900.55701999998;151404.72388;158016.79872;163711.87047999998;53.18;53.95720226055051;52.54004090409896;9.416666666666688e-06;6.556032578515681e-08
2016-01-14 11:40:00;3600;135309.28894302144;136613.21213479002;140261.86375946985;141684.66585452916;150213.32202166307;152385.96369004968;157292.55626633565;158359.35088815776;162836.50024145024;164510.62927378464;135994.93528;141021.21532;151328.88152;157934.0616;163567.08052;54.26;54.940370264417545;53.43705557876724;8.999999999999985e-06;6.265942641413193e-08
2016-01-14 11:42:00;3722;135232.32099645617;136682.87238199596;140086.08000721943;141412.7229108568;150478.84904372616;151950.15444285324;157187.2711974759;158458.88238763253;162922.3935305826;164245.17189354307;135988.04051999998;140876.42536;151356.46055999998;157830.6402;163477.44864;55.4;56.17215007372894;54.65337477842782;9.344262295081971e-06;6.505623507478192e-08
2016-01-14 11:44:00;3840;135368.47984221013;136652.11363154094;140087.75339902908;141396.91091860484;150420.72531770196;152570.12647209907;157348.9142346563;158598.12803121711;163011.2455101785;164163.43201224157;135953.56672;140859.18846;151342.67104;157954.74588;163470.55388;56.43;57.36479287685982;55.64722511119817;8.728813559322044e-06;6.077138343366862e-08
2016-01-14 11:46:00;3960;135424.58579204816;136682.0903351944;140107.3221514395;141231.89505991148;150197.26051617792;152895.6729465163;157304.45502967923;158404.56607311833;162827.6406020072;164159.84316761539;135884.61912;140741.97754;151273.72344;157885.79828;163560.18576;57.46;58.3465424197593;56.61577977838249;8.583333333333342e-06;5.975852704310746e-08
