DATETIME;t(s);0;1;2;3;4;5;6;7;8;9;$P_e$(2.2m);$P_e$(2.6m);$P_e$(3.0m);$P_e$(3.4m);$P_e$(3.8m);m(g);m1(g);m2(g);mDot(kg/s);Vr(m/s)
2015-10-05 11:24:00;0;141736.91062617823;141956.7796906298;146138.60693871108;146329.57091970101;156050.5297089007;156196.37718599377;162048.06243422715;162251.08832441675;168753.7606106528;168878.8160930662;141858.92865999998;146243.99602;156120.73971999998;162153.65472;168813.99288;2.21;2.2186587293700013;2.2027476509513546;-1.1416666666666667e-05;-7.94846427660749e-08
2015-10-05 11:26:00;120;140410.66245838813;140694.75179811186;144187.03868601646;144415.21424338032;154861.27262983003;155089.43549691493;160128.9071779545;160331.4152445757;167109.67259333385;167290.68575572752;140573.05591999998;144327.25274;154969.3148;160250.70096;167193.72428;74.87;75.16807707276367;74.5855117155436;0.0006055;4.215586965972994e-06
2015-10-05 11:28:00;240;140023.31791636554;140295.14796402177;143109.3029046066;143438.28365720555;154608.740949242;154950.41589744788;159345.43756444633;159650.9803082417;166425.61806684997;166704.60413305328;140135.23866;143265.4597;154783.15628;159540.54067999998;166559.40636;151.89;152.53486575010461;151.20050031968103;0.0006418333333333331;4.4685453911263406e-06
2015-10-05 11:30:00;360;139524.30412368986;139961.61218224425;142484.89893991096;142945.33361593762;154295.6223758185;154681.46866626604;159001.8589606384;159390.15476383123;165901.97789908908;166132.0824279871;139738.78996;142751.80008;154459.10256;159168.22363999998;166014.72032;207.74;208.72120313031863;206.6319335624152;0.0004654166666666669;3.2403045974345145e-06
2015-10-05 11:32:00;480;139282.89474308622;139752.9437951791;142143.1356683281;142610.7982502453;154151.37488806222;154550.62398805883;158502.52110105596;158945.94362724456;165616.08801149865;165905.05336213476;139583.65786;142341.56186;154362.57592;158720.06423999998;165738.92992;252.86;254.21241360513503;251.4281284940285;0.00037600000000000003;2.6177715924126275e-06
2015-10-05 11:34:00;600;139024.59885977028;139689.1920497261;141971.90536979173;142417.80797430966;153800.44824118708;154282.70949667803;158395.9009672884;158827.12970552576;165106.9472529199;165431.61089650533;139366.47292;142179.535;154059.20648;158637.32712;165263.19147999998;293.88;295.7049979388763;292.3050803771994;0.00034183333333333315;2.3798978439886062e-06
2015-10-05 11:36:00;720;138938.86071920948;139583.81879630926;141544.0898863139;142161.29473156738;153733.80253351456;154083.15384510753;157955.36437375384;158500.65374449408;164999.34314194685;165364.6239719197;139221.68296;141845.13913999998;153921.31128;158292.58912;165152.87532;330.77;332.6492597047068;328.5265878463004;0.00030741666666666656;2.140283555941972e-06
2015-10-05 11:38:00;840;138924.23171977664;139546.83248301773;141393.3045059455;142117.58649622454;153427.54631613992;154066.96071761783;157988.16384700243;158688.44664993495;164662.74026233584;165220.20166324568;139207.89343999999;141707.24394;153728.258;158333.95768;164918.45348;364.98;367.3425421024401;362.2679194072707;0.00028508333333333364;1.9847953496550546e-06
2015-10-05 11:40:00;960;138615.54950516782;139266.97903797645;141116.10716036745;141974.68856672765;153103.47463418078;153792.1795454821;157689.11847241622;158480.4644635742;164486.7499419191;164996.2318117199;139076.89299999998;141500.40113999997;153473.15188;158065.06204;164773.66352;397.81;400.60222536692;395.1137512382216;0.0002735833333333332;1.9047305270147719e-06
2015-10-05 11:42:00;1080;138463.89052569625;139549.68717581828;140890.14813693168;141675.67612807054;153090.53306927814;153835.92842734396;157378.62014842778;158140.10706275958;164206.41353324289;164803.43869796873;138980.36635999999;141328.03214;153438.67807999998;157865.114;164484.0836;429.63;432.6851389509745;426.2234635742328;0.0002651666666666666;1.8461323597200747e-06
2015-10-05 11:44:00;1200;138455.5191978667;139313.4038232844;140871.31035848337;141973.78047141567;152911.64971049008;153721.94143318955;157485.20090963438;158410.1421666937;164059.70892867068;164516.31212571653;138935.55041999999;141314.24262;153224.94052;157830.6402;164304.81984;459.16;462.56458552354906;455.49360569589373;0.00024608333333333356;1.7132711685271486e-06
2015-10-05 11:46:00;1320;138446.64354924692;139127.33773290733;140718.63557305327;141675.4590372826;152505.64439657528;153254.71584658412;157295.52454107744;158245.11681139772;163887.5409086895;164416.09617982796;138801.10259999998;141293.55834;152942.25535999998;157754.79783999998;164118.66131999998;487.31;491.7907007125646;482.93841097565956;0.00023458333333333314;1.633206345886866e-06
2015-10-05 11:48:00;1440;138393.5401119829;139617.9024092286;140561.7896025988;141498.3178067438;152392.07580074357;153082.29576981787;157086.64227699314;158125.17554829977;163690.18222635202;164180.3030066149;138690.78644;141114.29458;152852.62348;157610.00788;163932.5028;514.66;519.3076181832553;510.2737534206934;0.0002279166666666664;1.5867919559504713e-06
2015-10-05 11:50:00;1560;138086.75182110604;139090.93217649;140520.93572394553;141771.27842738;152012.93446262853;152972.56865547682;156991.5619824682;158041.82065552165;163509.87759165914;164078.29204606722;138504.62792;141110.8472;152487.2012;157644.48168;163856.66044;540.44;545.8169219271853;535.179583945946;0.00021483333333333405;1.4957037157003048e-06
2015-10-05 11:52:00;1680;137875.3902242371;139121.61320425672;140198.8729137106;141784.37317030903;151901.88741194273;153225.8757882907;156671.46508884354;158066.8642664127;163328.38272397328;164086.93559628076;138470.15412;141035.00484;152425.14836;157368.69128;163670.50192;566.09;571.5417045886609;560.7733767724314;0.0002137499999999998;1.4881613773356344e-06
2015-10-05 11:54:00;1800;137838.16612898736;139025.53228938443;140119.259883979;141547.54631883535;151987.6276268075;153149.23147215563;156626.69013358155;157929.09554710236;163235.78598463157;164000.61512956026;138383.96962;140997.08366;152397.56932;157251.48036;163601.55432;591.13;596.9898972016359;585.1846689399895;0.00020866666666666635;1.4527704050091331e-06
2015-10-05 11:56:00;1920;137884.28828443855;139223.3161188073;140185.58824783997;141499.40725627576;151520.85256677272;152915.84304941434;156309.30728799346;157673.39377108845;163049.19252062112;163921.65772239663;138397.75913999998;140904.0044;152176.93699999998;157051.53232;163429.18532;615.57;621.7690818411709;609.5744255187161;0.00020366666666666713;1.417959612556843e-06
2015-10-05 11:58:00;2040;137534.35145456693;138711.90032830584;140138.84051166638;141540.35751971052;151358.65168150625;152815.17971682674;156540.03108747816;157993.4344491864;162553.35048697365;163624.5930061641;138149.54778;140721.29326;151983.88371999998;157092.90088;163263.71107999998;639.53;646.6138802401589;632.2482521150192;0.00019966666666666603;1.3901109785949988e-06
2015-10-05 12:00:00;2160;137628.44975801522;138641.58620841117;139905.43766427934;141219.84508704726;151192.0589655787;152558.5051436456;156113.98166302516;157709.42859392395;162802.25865390513;163624.1807911307;138180.5742;140548.92426;151777.04092;156810.21571999998;163229.23728;662.83;671.2148596443667;655.4057348473956;0.00019416666666666725;1.3518191068974822e-06
2015-10-05 12:02:00;2280;137233.74458585825;138821.52110019067;139872.8297938487;141438.32207444255;150747.94015204883;152122.2803644795;156036.3349966348;157416.6981955797;162813.521487188;163539.6179307111;138004.75782;140442.05547999998;151577.09288;156624.05719999998;163077.55255999998;685.31;693.7308186119851;677.2338689695385;0.00018733333333333254;1.3042443572126686e-06
