DATETIME;SECOND;PASSED_SECONDS;PASSED_MSECONDS;P_1B;P_1C;P_2A;P_2B;P_2C;P_3B;P_3C;P_4A;P_4B;P_4C;P_5B;P_5C;P_6A;P_6B;P_6C;P_7B;P_7C;P_8A;P_8B;P_8C;P_9B;P_9C;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;LC_1;LC_2;LC_3
2015-07-09 10:10:00;39;8219;8254942;7.511;8.162;6.914;6.593;6.598;6.297;5.676;0.025;4.802;4.745;4.68;3.551;3.096;3.475;2.948;2.043;1.665;1.114;0.943;1.561;0.047;0.288;24.441;24.521;24.158;24.231;23.918;23.751;23.844;23.899;23.091;836.408;796.989;837.479
2015-07-09 10:20:00;19;8799;8834942;7.515;8.148;6.949;6.536;6.645;6.329;5.658;0.053;4.83;4.708;4.632;3.522;3.076;3.521;2.99;2.065;1.65;1.154;0.985;1.536;0.005;0.361;24.345;24.476;24.026;24.069;23.619;23.429;23.605;23.554;22.41;835.956;796.498;836.21
2015-07-09 10:30:00;39;9419;9454942;7.52;8.145;6.953;6.507;6.636;6.348;5.658;0.063;4.807;4.699;4.579;3.479;3.077;3.565;2.997;2.052;1.663;1.154;0.966;1.482;0.015;0.388;24.277;24.52;24.022;24.054;23.566;23.522;23.585;23.55;22.491;835.135;795.876;835.358
2015-07-09 10:40:00;19;9999;10034942;7.488;8.151;6.95;6.491;6.656;6.329;5.636;0.058;4.811;4.697;4.575;3.479;3.063;3.56;3.009;2.069;1.635;1.161;0.963;1.498;0.029;0.388;24.196;24.453;23.975;24.0;23.527;23.473;23.581;23.529;22.415;834.907;795.579;834.359
2015-07-09 10:50:00;39;10619;10654942;7.511;8.148;6.908;6.503;6.689;6.333;5.619;0.077;4.813;4.708;4.55;3.435;3.043;3.55;2.993;2.057;1.616;1.156;0.967;1.464;0.009;0.367;24.161;24.456;23.968;24.021;23.443;23.458;23.562;23.51;22.587;833.86;794.378;832.43
2015-07-09 11:00:00;19;11199;11234942;7.478;8.117;6.918;6.454;6.659;6.276;5.624;0.075;4.777;4.671;4.53;3.424;3.038;3.561;2.971;2.05;1.622;1.143;0.973;1.459;0.032;0.383;24.052;24.375;23.923;23.948;23.398;23.457;23.553;23.505;22.487;831.539;792.338;830.071
2015-07-09 11:10:00;9;11789;11824942;7.506;8.11;6.887;6.462;6.616;6.265;5.604;0.073;4.811;4.692;4.506;3.43;3.004;3.56;3.002;2.042;1.613;1.139;0.963;1.425;0.053;0.383;23.983;24.325;23.906;23.915;23.403;23.454;23.506;23.47;22.549;829.173;790.251;827.337
2015-07-09 11:20:00;19;12399;12434942;7.461;8.085;6.891;6.406;6.613;6.235;5.611;0.067;4.772;4.667;4.464;3.389;2.977;3.523;2.968;2.037;1.61;1.132;0.971;1.393;0.036;0.373;23.829;24.221;23.807;23.839;23.32;23.395;23.489;23.454;22.552;826.399;787.733;824.019
2015-07-09 11:30:00;9;12989;13024942;7.413;8.033;6.815;6.399;6.594;6.189;5.568;0.08;4.739;4.659;4.448;3.376;2.96;3.5;2.933;2.018;1.594;1.137;0.965;1.4;0.066;0.403;23.805;24.218;23.805;23.841;23.355;23.346;23.444;23.391;22.385;822.568;784.148;820.027
2015-07-09 11:40:00;19;13599;13634942;7.417;8.0;6.767;6.34;6.598;6.163;5.517;0.068;4.726;4.605;4.39;3.352;2.943;3.482;2.901;2.01;1.585;1.141;0.958;1.364;0.068;0.397;23.662;24.126;23.741;23.768;23.297;23.344;23.417;23.361;22.355;817.761;779.448;814.743
2015-07-09 11:50:00;9;14189;14224942;7.323;7.934;6.72;6.278;6.504;6.118;5.48;0.079;4.662;4.594;4.342;3.302;2.91;3.429;2.876;1.977;1.563;1.115;0.952;1.354;0.063;0.392;23.636;24.084;23.685;23.74;23.298;23.293;23.389;23.362;22.418;811.422;773.451;808.14
2015-07-09 12:00:00;29;14809;14844942;7.26;7.838;6.635;6.198;6.412;6.028;5.421;0.08;4.589;4.511;4.256;3.264;2.848;3.373;2.827;1.948;1.548;1.092;0.907;1.334;0.06;0.385;23.545;24.08;23.68;23.721;23.214;23.224;23.314;23.265;22.268;802.537;764.622;798.765
2015-07-09 12:10:00;9;15389;15424942;7.138;7.737;6.49;6.065;6.344;5.929;5.311;0.039;4.513;4.439;4.168;3.168;2.782;3.309;2.751;1.913;1.499;1.072;0.908;1.296;0.043;0.381;23.434;23.99;23.625;23.662;23.181;23.233;23.285;23.289;22.379;790.995;753.589;787.015
2015-07-09 12:20:00;29;16009;16044942;6.958;7.563;6.374;5.915;6.168;5.792;5.157;0.073;4.382;4.309;4.08;3.092;2.684;3.236;2.689;1.839;1.468;1.061;0.867;1.262;0.062;0.385;23.449;23.956;23.492;23.65;23.216;23.247;23.305;23.266;22.32;774.408;737.673;770.434
2015-07-09 12:30:00;9;16589;16624942;6.742;7.322;6.134;5.719;5.973;5.603;4.961;0.06;4.234;4.152;3.909;2.958;2.593;3.131;2.564;1.794;1.393;1.032;0.843;1.23;0.079;0.382;23.315;23.87;23.43;23.621;23.18;23.258;23.307;23.29;22.298;753.19;717.353;748.935
2015-07-09 12:40:00;29;17209;17244942;6.425;6.992;5.822;5.407;5.673;5.315;4.709;0.057;3.993;3.905;3.73;2.741;2.444;2.96;2.425;1.709;1.308;1.01;0.813;1.203;0.077;0.347;23.529;23.989;23.52;23.687;23.242;23.245;23.276;23.218;22.121;722.535;687.671;718.151
2015-07-09 12:50:00;9;17789;17824942;5.991;6.576;5.436;5.009;5.257;4.941;4.34;0.06;3.7;3.59;3.431;2.481;2.246;2.76;2.234;1.577;1.192;0.944;0.753;1.165;0.035;0.322;23.492;23.977;23.452;23.689;23.208;23.317;23.348;23.32;22.365;683.7;650.152;679.135
2015-07-09 13:00:00;29;18409;18444942;5.388;5.962;4.826;4.404;4.675;4.434;3.81;0.073;3.212;3.126;3.044;2.119;1.972;2.487;1.937;1.406;1.054;0.88;0.687;1.079;0.036;0.34;23.446;23.972;23.52;23.67;23.23;23.302;23.308;23.293;22.438;628.396;596.56;623.902
2015-07-09 13:10:00;9;18989;19024942;4.641;5.224;4.091;3.639;3.887;3.708;3.116;0.066;2.626;2.538;2.545;1.682;1.635;2.127;1.567;1.224;0.844;0.804;0.584;0.98;-0.001;0.281;23.318;23.874;23.481;23.617;23.079;23.173;23.222;23.224;22.351;561.649;531.368;556.889
2015-07-09 13:20:00;29;19609;19644942;3.641;4.196;2.983;2.551;2.832;2.672;2.099;0.083;1.718;1.665;1.751;0.995;1.099;1.62;1.108;0.952;0.612;0.681;0.473;0.895;-0.042;0.264;23.412;23.94;23.589;23.645;23.178;23.222;23.255;23.263;22.333;471.85;444.302;467.057
2015-07-09 13:30:00;9;20189;20224942;2.577;3.136;1.841;1.389;1.664;1.538;0.951;0.081;0.678;0.577;0.852;0.204;0.501;1.053;0.495;0.589;0.249;0.546;0.329;0.766;-0.058;0.243;23.278;23.896;23.559;23.648;23.139;23.263;23.31;23.307;22.232;377.276;352.676;372.753
2015-07-09 13:40:00;29;20809;20844942;1.177;1.724;0.371;-0.084;0.226;0.186;-0.399;0.078;-0.568;-0.649;-0.202;-0.752;-0.189;0.347;-0.221;0.225;-0.148;0.364;0.115;0.532;-0.121;0.21;23.3;23.947;23.607;23.697;23.175;23.301;23.354;23.382;22.47;255.577;234.398;252.055
2015-07-09 13:50:00;8;21388;21424942;-0.364;0.164;-1.188;-1.656;-1.343;-1.222;-1.806;0.077;-1.76;-1.8;-1.201;-1.655;-0.832;-0.287;-0.848;-0.106;-0.483;0.152;-0.11;0.3;-0.187;0.147;23.414;24.055;23.706;23.789;23.267;23.375;23.426;23.455;22.472;121.322;104.636;119.668
2015-07-09 14:00:00;28;22008;22044942;-1.924;-1.377;-2.822;-3.298;-3.031;-2.698;-3.259;0.087;-2.994;-3.097;-2.214;-2.543;-1.472;-0.897;-1.465;-0.41;-0.82;-0.114;-0.385;-0.025;-0.288;0.056;23.377;24.116;23.74;23.882;23.367;23.456;23.541;23.564;22.611;-13.488;-24.622;-13.451
2015-07-09 14:10:00;8;22588;22624942;-3.358;-2.841;-4.357;-4.808;-4.54;-4.002;-4.62;0.098;-4.076;-4.196;-3.109;-3.344;-2.009;-1.442;-2.021;-0.731;-1.148;-0.329;-0.656;-0.309;-0.395;-0.052;23.546;24.218;23.869;24.004;23.414;23.517;23.628;23.616;22.584;-143.06;-146.718;-139.833
2015-07-09 14:20:00;28;23208;23244942;-4.983;-4.418;-5.839;-6.292;-6.066;-5.299;-5.933;0.114;-5.162;-5.264;-3.967;-4.157;-2.601;-2.029;-2.578;-1.07;-1.499;-0.565;-0.924;-0.565;-0.555;-0.19;23.841;24.457;24.08;24.175;23.571;23.706;23.752;23.792;22.659;-287.929;-282.498;-280.363
2015-07-09 14:30:00;8;23788;23824942;-6.355;-5.759;-6.988;-7.493;-7.287;-6.382;-7.078;0.132;-6.118;-6.132;-4.755;-4.85;-3.118;-2.507;-3.104;-1.401;-1.819;-0.792;-1.177;-0.796;-0.722;-0.341;23.876;24.647;24.214;24.37;23.69;23.775;23.92;23.927;22.62;-411.122;-397.887;-398.954
2015-07-09 14:40:00;28;24408;24444942;-7.687;-7.016;-7.991;-8.544;-8.371;-7.347;-8.174;0.13;-7.092;-7.07;-5.557;-5.669;-3.645;-2.995;-3.619;-1.589;-2.022;-0.659;-1.088;-0.631;-0.853;-0.339;24.041;24.857;24.445;24.577;23.956;24.023;24.118;24.133;22.878;-533.247;-504.629;-504.336
2015-07-09 14:50:00;8;24988;25024942;-8.464;-7.888;-8.525;-9.174;-9.075;-8.008;-9.028;0.147;-7.859;-7.599;-6.188;-6.299;-4.03;-3.284;-3.936;-1.32;-1.793;-0.459;-1.002;-0.395;-0.919;-0.36;24.202;25.099;24.692;24.816;24.04;24.194;24.346;24.369;22.994;-599.492;-575.851;-572.665
2015-07-09 15:00:00;28;25608;25644942;-7.282;-8.309;-9.035;-9.779;-9.73;-8.647;-9.946;0.157;-8.6;-8.059;-6.59;-6.715;-3.913;-3.145;-3.808;-1.153;-1.712;-0.373;-1.011;-0.244;-1.04;-0.378;24.471;25.377;24.952;25.112;24.396;24.484;24.671;24.688;23.256;-639.222;-614.298;-612.915
2015-07-09 15:10:00;18;26198;26234942;-7.812;-8.658;-9.704;-10.493;-10.718;-9.201;-10.744;0.169;-8.87;-8.618;-6.726;-6.91;-3.062;-2.003;-2.975;-1.128;-1.677;-0.255;-1.026;-0.119;-1.106;-0.368;24.685;25.705;25.229;25.434;24.73;24.762;24.939;24.981;23.453;-658.822;-635.121;-633.899
2015-07-09 15:20:00;38;26818;26854942;-7.969;-8.61;-9.69;-9.56;-10.245;-8.108;-9.957;0.183;-8.325;-7.947;-6.404;-6.773;-3.658;-2.453;-3.466;-1.166;-1.787;-0.085;-0.95;0.0;-0.772;-0.308;24.882;26.1;25.604;25.836;24.952;25.074;25.308;25.359;23.656;-638.608;-610.909;-611.439
2015-07-09 15:30:00;18;27398;27434942;-5.997;-6.568;-5.517;-7.705;-8.122;-6.879;-9.266;0.183;-8.158;-7.607;-6.481;-6.984;-4.099;-2.702;-3.789;-1.089;-1.847;0.095;-0.85;0.0;-0.601;-0.309;25.229;26.474;25.991;26.264;25.357;25.418;25.66;25.73;23.826;-521.015;-488.952;-497.261
2015-07-09 15:40:00;38;28018;28054942;-5.168;-5.561;-4.396;-7.421;-7.439;-6.019;-9.007;0.208;-4.653;-6.495;-6.414;-7.066;-3.931;-2.358;-3.51;-0.868;-1.577;0.41;-0.661;0.236;-0.601;0.039;25.724;27.047;26.456;26.781;25.884;25.881;26.189;26.168;24.191;-359.257;-314.56;-365.555
2015-07-09 15:50:00;18;28598;28634942;-4.711;-4.868;-3.743;-4.962;-6.773;-5.413;-8.987;0.22;-3.911;-5.752;-6.385;-6.904;-3.668;-1.887;-3.121;-0.412;-1.136;0.68;-0.477;0.601;-0.631;0.153;26.206;27.582;26.967;27.264;26.31;26.349;26.678;26.666;24.524;-278.473;-165.046;-230.702
2015-07-09 16:00:00;38;29218;29254942;-4.523;-4.214;-3.369;-4.301;-6.445;-5.426;-9.365;0.249;-3.578;-5.505;-6.306;-6.81;-3.211;-1.229;-2.606;0.023;-0.336;1.034;-0.602;0.719;-0.659;0.317;26.617;28.027;27.465;27.84;26.791;26.908;27.26;27.289;25.057;-145.141;-116.026;-4.343
2015-07-09 16:10:00;18;29798;29834942;-4.566;-3.671;-3.226;-4.187;-6.659;-2.636;-9.959;0.256;-3.42;-5.837;-6.201;-7.118;-2.645;-0.496;-1.94;0.628;0.719;1.287;0.021;1.051;-0.706;0.394;27.14;28.756;28.08;28.446;27.314;27.38;27.75;27.706;25.165;-85.022;-71.592;83.147
