DATETIME;SECOND;PASSED_SECONDS;PASSED_MSECONDS;P_1B;P_1C;P_2A;P_2B;P_2C;P_3B;P_3C;P_4A;P_4B;P_4C;P_5B;P_5C;P_6A;P_6B;P_6C;P_7B;P_7C;P_8A;P_8B;P_8C;P_9B;P_9C;T_1;T_2;T_3;T_4;T_5;T_6;T_7;T_8;T_9;LC_1;LC_2;LC_3
2015-07-09 08:30:00;50;2290;2324942;0.041;0.023;0.058;0.016;0.015;-0.005;0.008;-0.012;0.005;0.009;0.024;-0.022;0.023;0.004;0.065;0.034;0.013;0.017;0.032;-0.01;0.026;0.019;19.883;19.738;19.643;19.607;19.603;19.65;19.516;19.553;19.528;146.05;-673.051;510.131
2015-07-09 08:40:00;10;3030;3064942;-0.019;0.067;0.006;-0.057;-0.062;-0.044;0.004;-0.055;0.009;0.046;0.005;-0.049;0.034;0.026;-0.035;-0.016;0.019;-0.049;-0.015;0.043;0.014;0.046;20.057;19.838;19.772;19.726;19.744;19.789;19.645;19.678;19.672;-16.122;-37.523;90.773
2015-07-09 08:50:00;30;3410;3444942;-0.042;0.078;-0.037;-0.044;-0.084;-0.058;0.004;-0.064;-0.027;0.062;0.018;-0.046;0.01;-0.009;-0.014;-0.028;0.04;-0.075;-0.021;0.024;0.003;-0.027;20.213;19.919;19.908;19.811;19.919;19.949;19.766;19.736;19.849;-15.431;-35.994;88.289
2015-07-09 09:00:00;19;3999;4034942;-0.049;0.068;-0.055;-0.061;-0.124;-0.1;0.013;-0.08;-0.067;0.055;0.032;-0.033;0.005;-0.063;-0.037;-0.024;0.054;-0.091;-0.068;0.039;0.034;-0.083;20.362;19.996;20.095;19.945;20.14;20.157;19.957;19.894;20.123;-16.453;-34.963;87.747
2015-07-09 09:10:00;39;4619;4654942;-0.061;0.057;-0.061;-0.028;-0.144;-0.103;-0.009;-0.078;-0.065;0.042;0.066;0.015;0.007;-0.056;-0.044;-0.018;0.031;-0.116;-0.066;0.071;0.038;-0.123;20.479;20.084;20.215;20.063;20.322;20.338;20.135;20.052;20.352;-40.428;-33.236;105.499
2015-07-09 09:20:00;19;5199;5234942;7.809;8.152;7.232;6.779;6.762;6.351;6.029;0.017;5.042;5.05;4.749;3.85;3.305;3.418;3.162;2.205;2.097;1.171;1.158;1.611;0.255;0.339;23.492;22.781;22.293;22.158;22.004;21.816;21.749;21.785;21.419;778.104;749.485;1032.263
2015-07-09 09:30:00;39;5819;5854942;7.668;8.2;7.055;6.688;6.661;6.374;5.821;0.013;4.905;4.834;4.72;3.709;3.211;3.478;3.031;2.09;1.877;1.129;1.047;1.624;0.099;0.404;24.189;23.872;23.455;23.415;23.197;23.032;23.007;23.086;22.598;790.836;753.226;1016.353
2015-07-09 09:40:00;19;6399;6434942;7.585;8.191;6.988;6.653;6.645;6.342;5.766;-0.01;4.87;4.789;4.705;3.63;3.142;3.465;2.993;2.066;1.782;1.116;1.001;1.602;0.073;0.333;24.266;24.101;23.747;23.714;23.514;23.359;23.348;23.397;22.884;840.94;800.443;845.003
2015-07-09 09:50:00;39;7019;7054942;7.55;8.185;6.978;6.608;6.632;6.316;5.728;0.019;4.826;4.793;4.685;3.61;3.129;3.448;2.974;2.066;1.702;1.108;0.986;1.595;0.079;0.306;24.294;24.14;23.812;23.77;23.592;23.444;23.442;23.488;23.06;838.907;799.032;841.737
2015-07-09 10:00:00;19;7599;7634942;7.506;8.171;6.917;6.604;6.599;6.291;5.715;0.003;4.797;4.766;4.701;3.606;3.086;3.459;2.951;2.056;1.662;1.103;0.974;1.563;0.075;0.271;24.43;24.315;24.005;23.957;23.781;23.641;23.653;23.662;23.212;837.584;797.871;839.4
